"csu_id","year","week","target_name","test_code","cq","copies","amp_status"
"RMRP00716",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00716",2025,27,"WNV",0,55.55,0,"No Amp"
"RMRP00717",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00717",2025,27,"WNV",0,55.55,0,"Amp"
"RMRP00718",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00718",2025,27,"WNV",0,55.55,0,"Amp"
"RMRP00719",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00719",2025,27,"WNV",0,55.55,0,"No Amp"
"RMRP00720",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00720",2025,27,"WNV",0,32.87,27.63,"Amp"
"RMRP00721",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00721",2025,27,"WNV",0,34.08,11.23,"Amp"
"RMRP00722",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00722",2025,27,"WNV",0,30.74,135.74,"Amp"
"RMRP00723",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00723",2025,27,"WNV",0,30.26,194.87,"Amp"
"RMRP00724",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00724",2025,27,"WNV",0,29.23,420.21,"Amp"
"RMRP00725",2025,27,"SLEV",0,55.55,0,"No Amp"
"RMRP00725",2025,27,"WNV",1,27.16,1968.72,"Amp"
